Ï„,row_red,col_red,std_mat,lat_red_row
1,0.06529026,0.010893005,0.679354452,0.000530213
61,0.795368796,0.019067176,0.689487999,0.007709749
121,1.637408749,0.025271474,0.679719173,0.013065861
181,3.081768237,0.030598799,0.684003001,0.019468922
241,5.205756849,0.039008991,0.700713345,0.02664665
301,5.02938954,0.058693335,0.690985806,0.042155695
361,9.996497727,0.051513296,0.716553452,0.047010133
421,11.296742614,0.061034499,0.695927995,0.048496433
481,14.652676255,0.064359086,0.688604934,0.065768938
541,16.410461281,0.099785155,0.690726433,0.063403015
601,17.816212153,0.082292508,0.705863035,0.067810915
661,19.586875164,0.086908531,0.70185181,0.075681256
721,22.392623391,0.096324732,0.70184122,0.08566354
781,24.753308605,0.101465837,0.709277047,0.08803741
841,26.656485868,0.107567442,0.714163955,0.099243914
901,28.452040195,0.116339369,0.71149578,0.118385016
961,30.831932464,0.128559415,0.716018514,0.112846437
